smiles,MW,LogP,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.32399999999996,1.3424,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCN1C(=O)NC(c2ccccc2)C1=O,204.22899999999998,1.2993999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,288.475,5.090300000000005,,,,,,,,0.0,,0.0,,
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,276.42400000000004,3.7524400000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
CC(O)(P(=O)(O)O)P(=O)(O)O,206.027,-0.9922000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,290.444,4.817200000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
O=S(=O)(Cl)c1ccccc1,176.62400000000002,1.6141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,621.9340000000001,4.625400000000002,0.0,,0.0,,1.0,,,1.0,0.0,1.0,0.0,1.0
OC[C@H](O)[C@@H](O)[C@H](O)CO,152.146,-2.9463000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],351.8019999999999,2.1911000000000005,,,,,,,,0.0,,0.0,,
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,663.4300000000004,-3.6478999999999964,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,354.1,-1.2181000000000002,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)COC(=O)C(C)C,144.21399999999997,1.8416000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)C(=O)OCCOC(=O)C(=C)C,198.21799999999996,1.2249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,215.70799999999997,0.24750000000000005,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,
O=C([O-])Cc1cccc2ccccc12,185.202,1.1321999999999994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCOCC(O)CN,231.37999999999997,2.4633,0.0,0.0,0.0,,0.0,,,,,0.0,,
CCN(CC)C(=O)c1cccnc1,178.235,1.5636,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0
COc1cc(O)cc(O)c1,140.13799999999998,1.1063999999999998,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0
CCOC(=O)c1cccnc1,151.16499999999996,1.2583,,,,,,,,0.0,,0.0,,
CCOc1ccc(S(=O)(=O)O)c2cccnc12,253.279,1.8801999999999999,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0
O=C(O)[C@H](O)c1ccccc1,152.149,0.8046,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccc(/N=N/c2ccccc2)cc1,197.24100000000004,3.6842000000000015,0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0
CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,292.209,4.789500000000003,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,314.21200000000005,3.775400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86,4.528400000000004,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0
C#CCO,56.064,-0.3881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccccc1S(=O)(=O)O,173.19299999999998,0.5155000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
CC(O)CC(C)(C)O,118.17599999999999,0.5282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)CC(C)(C)N,129.24699999999999,2.1599000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)CC(C)C,100.16099999999999,1.6215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(C)=O,86.13399999999999,1.3755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1nc2ccccc2[nH]1,133.15399999999997,1.1451,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,266.33799999999997,4.6592,0.0,,1.0,,,0.0,,1.0,0.0,0.0,1.0,1.0
c1ccc(-c2ccccc2)cc1,154.21199999999996,3.353600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNC(=O)Nc1ccc(Cl)c(Cl)c1,219.07099999999997,2.7447,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
CC(=O)Nc1ccc(C)c(Cl)c1,183.63799999999998,2.606820000000001,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
CCCCNC(=S)NCCCC,188.33999999999995,2.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
