params,strict_success,loose_success,avg_sim_success,avg_steps
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 256}",0.2813299232736573,0.3205456095481671,0.7251583184604633,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 512}",0.28218243819266836,0.32310315430520037,0.7280056876443962,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 1024}",0.2872975277067349,0.31287297527706737,0.7434814425484583,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 64, 'hidden_dim': 2048}",0.236999147485081,0.257459505541347,0.7490538324175651,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 256}",0.28218243819266836,0.3069053708439898,0.7418055351410053,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 512}",0.2591645353793691,0.289002557544757,0.7362865525994177,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 1024}",0.3009377664109122,0.3316283034953112,0.7361226859639778,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 128, 'hidden_dim': 2048}",0.2898550724637681,0.319693094629156,0.73544976076151,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 256}",0.21483375959079284,0.226768968456948,0.7545211820650413,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 512}",0.21994884910485935,0.23785166240409208,0.749375195493123,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 1024}",0.25404944586530265,0.2770673486786019,0.7465458945591098,1.0
"{'lr': 0.001, 'gamma': 0.1, 'batch_size': 256, 'hidden_dim': 2048}",0.2361466325660699,0.24978687127024723,0.7549491428412459,1.0
"{'lr': 0.001, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256}",0.25831202046035806,0.2796248934356351,0.7546651534997351,1.0
"{'lr': 0.001, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 512}",0.28815004262574595,0.32395566922421143,0.7355913918233086,1.0
"{'lr': 0.001, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 1024}",0.26427962489343565,0.2966751918158568,0.7375184583863673,1.0
"{'lr': 0.001, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 2048}",0.309462915601023,0.3393009377664109,0.7321566888216592,1.0
