params,strict_success,loose_success,avg_sim_success,avg_sim_tanimoto,avg_steps
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.16624040920716113,0.1815856777493606,0.7563719877238471,0.4805399847092174,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.23955669224211423,0.26768968456947995,0.7344231101111754,0.4862522510919859,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.20630861040068202,0.22421142369991476,0.764300278700262,0.5133268400682099,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.23358908780903667,0.2693947144075021,0.7307073776016333,0.5048945016963536,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.28218243819266836,0.32225063938618925,0.7246469245676733,0.5794324193680306,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 100.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.2361466325660699,0.2651321398124467,0.7258457992069094,0.41260228801140075,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.3052003410059676,0.35294117647058826,0.7154422805199334,0.5410643459809388,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.27621483375959077,0.3205456095481671,0.7186474835172388,0.5079306937291309,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 25.0}",0.21739130434782608,0.2318840579710145,0.7528720213162585,0.506236501587691,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 200.0, 'w_pen': 50.0}",0.22506393861892582,0.2412617220801364,0.7677904201727446,0.4685579141016312,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 25.0}",0.30861040068201195,0.35805626598465473,0.7138175889455345,0.541242281695764,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 150.0, 'w_flip': 300.0, 'w_pen': 50.0}",0.27365728900255754,0.31628303495311166,0.7249944541151536,0.5747554831171366,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 25.0}",0.2958226768968457,0.33844842284739984,0.7249946619805646,0.5223975809170456,1.0
"{'lr': 0.0003, 'gamma': 0.5, 'batch_size': 64, 'hidden_dim': 256, 'w_tox': 200.0, 'w_flip': 150.0, 'w_pen': 50.0}",0.3069053708439898,0.34782608695652173,0.7239726300650686,0.5499291848263913,1.0
